copy0,copy1,processsymbols,createtree,createtree_partition,assigncodeword,assigncodeword_partition,obj1,obj2
0432,1,4,4,2,1,1,1,34.026,1389
0433,1,4,4,2,1,1,2,33.427,1380
0434,1,4,4,2,1,1,4,34.057,1354
0435,1,4,4,2,1,2,1,33.596,1438
0436,1,4,4,2,1,2,2,34.415,1454
0437,1,4,4,2,1,2,4,33.809,1493
0438,1,4,4,2,1,4,1,34.238,1562
0439,1,4,4,2,1,4,2,34.050,1636
0440,1,4,4,2,1,4,4,33.880,1515
0441,1,4,4,2,2,1,1,31.451,1390
0442,1,4,4,2,2,1,2,31.347,1410
0443,1,4,4,2,2,1,4,31.612,1385
0444,1,4,4,2,2,2,1,31.683,1503
0445,1,4,4,2,2,2,2,31.536,1491
0446,1,4,4,2,2,2,4,31.226,1514
0447,1,4,4,2,2,4,1,32.129,1633
0448,1,4,4,2,2,4,2,30.914,1597
0449,1,4,4,2,2,4,4,30.641,1608
0450,1,4,4,2,4,1,1,32.214,1721
0451,1,4,4,2,4,1,2,31.595,1643
0452,1,4,4,2,4,1,4,31.751,1685
0453,1,4,4,2,4,2,1,32.083,1748
0454,1,4,4,2,4,2,2,31.472,1750
0455,1,4,4,2,4,2,4,31.226,1761
0456,1,4,4,2,4,4,1,31.769,1830
0457,1,4,4,2,4,4,2,31.870,1850
0458,1,4,4,2,4,4,4,31.425,1831
0459,1,4,4,4,1,1,1,29.559,1585
0460,1,4,4,4,1,1,2,32.068,1567
0461,1,4,4,4,1,1,4,31.367,1571
0462,1,4,4,4,1,2,1,31.203,1680
0463,1,4,4,4,1,2,2,31.223,1646
0464,1,4,4,4,1,2,4,31.460,1768
0465,1,4,4,4,1,4,1,30.531,1827
0466,1,4,4,4,1,4,2,30.990,1830
0467,1,4,4,4,1,4,4,30.080,1819
0468,1,4,4,4,2,1,1,27.599,1728
0469,1,4,4,4,2,1,2,27.117,1706
0470,1,4,4,4,2,1,4,27.617,1772
0471,1,4,4,4,2,2,1,27.215,1806
0472,1,4,4,4,2,2,2,26.894,1762
0473,1,4,4,4,2,2,4,27.850,1794
0474,1,4,4,4,2,4,1,27.348,1853
0475,1,4,4,4,2,4,2,27.331,1910
0476,1,4,4,4,2,4,4,27.777,1865
0477,1,4,4,4,4,1,1,29.477,1840
0478,1,4,4,4,4,1,2,28.960,1841
0481,1,4,4,4,4,2,2,29.350,1913
0482,1,4,4,4,4,2,4,29.751,1940
0483,1,4,4,4,4,4,1,28.576,1992
0484,1,4,4,4,4,4,2,29.131,2034
0485,1,4,4,4,4,4,4,29.007,2004
0486,1,16,1,1,1,1,1,33.806,2320
0487,1,16,1,1,1,1,2,33.704,2222
0489,1,16,1,1,1,2,1,33.383,2553
0490,1,16,1,1,1,2,2,32.282,2507
0491,1,16,1,1,1,2,4,33.270,2518
0492,1,16,1,1,1,4,1,32.462,2828
0493,1,16,1,1,1,4,2,33.065,2826
0494,1,16,1,1,1,4,4,32.355,2951
0495,1,16,1,1,2,1,1,31.414,2315
