design,copy0,copy1,computehistogram,computehistogram_partition,resort,processsymbols,movenodes,assigncodeword,obj1,obj2
0328,2,1,1,4,2,1,1,1,35.739,989
0329,2,1,1,4,2,1,1,2,36.879,1036
0330,2,1,1,4,2,1,2,1,37.184,989
0331,2,1,1,4,2,1,2,2,36.605,1066
0332,2,1,1,4,2,2,1,1,35.991,1006
0333,2,1,1,4,2,2,1,2,36.278,1097
0334,2,1,1,4,2,2,2,1,36.746,1022
0335,2,1,1,4,2,2,2,2,36.723,1051
0336,2,1,2,1,1,1,1,1,43.542,885
0337,2,1,2,1,1,1,1,2,42.746,940
0338,2,1,2,1,1,1,2,1,43.767,955
0339,2,1,2,1,1,1,2,2,46.508,977
0340,2,1,2,1,1,2,1,1,42.681,908
0341,2,1,2,1,1,2,1,2,43.452,962
0342,2,1,2,1,1,2,2,1,43.962,959
0343,2,1,2,1,1,2,2,2,45.901,1012
0344,2,1,2,1,2,1,1,1,45.047,1014
0345,2,1,2,1,2,1,1,2,45.505,1067
0346,2,1,2,1,2,1,2,1,44.255,1059
0347,2,1,2,1,2,1,2,2,45.959,1089
0348,2,1,2,1,2,2,1,1,43.278,1098
0349,2,1,2,1,2,2,1,2,43.105,1072
0350,2,1,2,1,2,2,2,1,44.131,1087
0351,2,1,2,1,2,2,2,2,45.736,1104
0352,2,1,2,2,1,1,1,1,43.782,918
0353,2,1,2,2,1,1,1,2,44.275,942
0354,2,1,2,2,1,1,2,1,43.817,982
0355,2,1,2,2,1,1,2,2,45.181,1021
0356,2,1,2,2,1,2,1,1,42.564,939
0357,2,1,2,2,1,2,1,2,44.265,945
0358,2,1,2,2,1,2,2,1,44.934,1013
0359,2,1,2,2,1,2,2,2,45.419,1045
0360,2,1,2,2,2,1,1,1,44.094,1081
0361,2,1,2,2,2,1,1,2,43.340,1079
0362,2,1,2,2,2,1,2,1,44.104,1080
0363,2,1,2,2,2,1,2,2,46.518,1090
0364,2,1,2,2,2,2,1,1,42.916,1073
0365,2,1,2,2,2,2,1,2,43.492,1127
0366,2,1,2,2,2,2,2,1,43.392,1105
0367,2,1,2,2,2,2,2,2,44.635,1097
0368,2,1,2,4,1,1,1,1,36.115,939
0369,2,1,2,4,1,1,1,2,36.047,1006
0370,2,1,2,4,1,1,2,1,36.688,1020
0371,2,1,2,4,1,1,2,2,37.539,1061
0372,2,1,2,4,1,2,1,1,35.883,953
0373,2,1,2,4,1,2,1,2,36.308,988
0374,2,1,2,4,1,2,2,1,35.698,1028
0375,2,1,2,4,1,2,2,2,37.456,1066
0376,2,1,2,4,2,1,1,1,36.649,1128
0377,2,1,2,4,2,1,1,2,37.344,1117
0378,2,1,2,4,2,1,2,1,37.463,1161
0379,2,1,2,4,2,1,2,2,36.395,1187
0380,2,1,2,4,2,2,1,1,37.332,1147
0381,2,1,2,4,2,2,1,2,36.970,1207
0382,2,1,2,4,2,2,2,1,36.882,1139
0383,2,1,2,4,2,2,2,2,37.350,1208
0384,2,1,4,1,1,1,1,1,43.002,1095
0385,2,1,4,1,1,1,1,2,43.245,1109
0386,2,1,4,1,1,1,2,1,42.729,1068
0387,2,1,4,1,1,1,2,2,44.549,1193
0388,2,1,4,1,1,2,1,1,42.523,1100
0389,2,1,4,1,1,2,1,2,42.407,1146
0390,2,1,4,1,1,2,2,1,43.734,1093
0391,2,1,4,1,1,2,2,2,45.302,1122
0392,2,1,4,1,2,1,1,1,43.223,1182
0393,2,1,4,1,2,1,1,2,43.717,1227
0394,2,1,4,1,2,1,2,1,44.872,1193
0395,2,1,4,1,2,1,2,2,45.416,1260
0396,2,1,4,1,2,2,1,1,44.448,1211
0397,2,1,4,1,2,2,1,2,42.683,1225
0398,2,1,4,1,2,2,2,1,43.331,1237
0399,2,1,4,1,2,2,2,2,45.686,1245
0400,2,1,4,2,1,1,1,1,43.905,1062
0401,2,1,4,2,1,1,1,2,43.704,1143
0402,2,1,4,2,1,1,2,1,43.612,1114
